date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,490564000
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,493632000
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,498345000
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,498764000
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,497867000
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,501372000
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,494731000
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,497469000
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,519045000
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,524470000
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,539373000
2007-12-31,common-outstanding-basic,2007.0,period,FY,common,584203000
