date,figure,fyear,measure,period,type,value
2018-12-31,common-outstanding-basic,2018.0,period,FY,common,59239608
2017-12-31,common-outstanding-basic,2017.0,period,FY,common,54986654
2016-12-31,common-outstanding-basic,2016.0,period,FY,common,61261288
2015-12-31,common-outstanding-basic,2015.0,period,FY,common,68163825
2014-12-31,common-outstanding-basic,2014.0,period,FY,common,72181447
2013-12-31,common-outstanding-basic,2013.0,period,FY,common,76648688
2012-12-31,common-outstanding-basic,2012.0,period,FY,common,84276427
2011-12-31,common-outstanding-basic,2011.0,period,FY,common,96626306
2010-12-31,common-outstanding-basic,2010.0,period,FY,common,110632551
2009-12-31,common-outstanding-basic,2009.0,period,FY,common,118036632
2008-12-31,common-outstanding-basic,2008.0,period,FY,common,118005967
2007-12-31,common-outstanding-basic,2007.0,period,FY,common,119934873
