date,closeAdj
2019-11-08,83.74
2019-11-07,83.39
2019-11-06,83.12
2019-11-05,82.34
2019-11-04,82.22
2019-11-01,82.66
2019-10-31,83.61
2019-10-30,84.01
2019-10-29,83.45
2019-10-28,82.66
2019-10-25,81.65
2019-10-24,81.36
2019-10-23,81.27
2019-10-22,80.54
2019-10-21,81.65
2019-10-18,82.79
2019-10-17,82.38
2019-10-16,81.78
2019-10-15,81.98
2019-10-14,79.82
2019-10-11,79.63
2019-10-10,79.82
2019-10-09,79.18
2019-10-08,78.2
2019-10-07,80.72
2019-10-04,81.66
2019-10-03,80.75
2019-10-02,79.21
2019-10-01,81.51
2019-09-30,83.34
2019-09-27,81.51
2019-09-26,82.33
2019-09-25,82.53
2019-09-24,82.11
2019-09-23,82.83
2019-09-20,83.25
2019-09-19,82.9
2019-09-18,83.31
2019-09-17,83.25
2019-09-16,83.03
2019-09-13,83.93
2019-09-12,84.87
2019-09-11,84.18
2019-09-10,82.88
2019-09-09,83.88
2019-09-06,85.7
2019-09-05,85.56
2019-09-04,83.88
2019-09-03,83.72
2019-08-30,84.98
2019-08-29,84.48
2019-08-28,83.88
2019-08-27,83.32
2019-08-26,82.79
2019-08-23,81.6
2019-08-22,84.03
2019-08-21,84.56
2019-08-20,84.2
2019-08-19,85.22
2019-08-16,84.44
2019-08-15,83.6
2019-08-14,83.6
2019-08-13,86.54
2019-08-12,84.32
2019-08-09,86.27
2019-08-08,85.22
2019-08-07,84.26
2019-08-06,84.52
2019-08-05,82.83
2019-08-02,85.48
2019-08-01,85.74
2019-07-31,86.75
2019-07-30,87.96
2019-07-29,88.2
2019-07-26,87.4
2019-07-25,87.65
2019-07-24,88.24
2019-07-23,88.39
2019-07-22,87.72
2019-07-19,87.14
2019-07-18,87.41
2019-07-17,85.42
2019-07-16,82.83
2019-07-15,83.48
2019-07-12,83.58
2019-07-11,85.11
2019-07-10,84.72
2019-07-09,84.61
2019-07-08,84.43
2019-07-05,84.76
2019-07-03,84.98
2019-07-02,84.3
2019-07-01,83.84
2019-06-28,83.45
2019-06-27,83.04
2019-06-26,82.32
2019-06-25,83.59
2019-06-24,84.06
2019-06-21,84.34
2019-06-20,84.29
2019-06-19,83.68
2019-06-18,82.78
2019-06-17,81.42
2019-06-14,81.59
2019-06-13,81.66
2019-06-12,81.32
2019-06-11,80.49
2019-06-10,80.64
2019-06-07,80.12
2019-06-06,79.47
2019-06-05,78.08
2019-06-04,76.86
2019-06-03,75.13
2019-05-31,75.54
2019-05-30,75.93
2019-05-29,75.09
2019-05-28,75.13
2019-05-24,76.39
2019-05-23,75.05
2019-05-22,75.67
2019-05-21,75.44
2019-05-20,75.19
2019-05-17,75.38
2019-05-16,76.01
2019-05-15,75.92
2019-05-14,75.44
2019-05-13,74.92
2019-05-10,75.86
2019-05-09,75.83
2019-05-08,75.63
2019-05-07,76.32
2019-05-06,78.46
2019-05-03,78.08
2019-05-02,78.17
2019-05-01,78.13
2019-04-30,78.95
2019-04-29,77.67
2019-04-26,77.95
2019-04-25,77.51
2019-04-24,76.16
2019-04-23,75.51
2019-04-22,73.94
2019-04-18,73.35
2019-04-17,72.32
2019-04-16,75.79
2019-04-15,76.9
2019-04-12,77.41
2019-04-11,77.59
2019-04-10,78.04
2019-04-09,77.75
2019-04-08,77.6
2019-04-05,78.07
2019-04-04,77.7
2019-04-03,78.57
2019-04-02,78.68
2019-04-01,78.72
2019-03-29,79.0
2019-03-28,78.51
2019-03-27,77.8
2019-03-26,78.07
2019-03-25,77.31
2019-03-22,77.05
2019-03-21,79.12
2019-03-20,79.0
2019-03-19,79.02
2019-03-18,77.9
2019-03-15,78.92
2019-03-14,78.05
2019-03-13,77.7
2019-03-12,77.32
2019-03-11,76.9
2019-03-08,75.73
2019-03-07,75.9
2019-03-06,76.79
2019-03-05,77.3
2019-03-04,77.7
2019-03-01,77.67
2019-02-28,76.71
2019-02-27,76.32
2019-02-26,75.85
2019-02-25,75.96
2019-02-22,75.24
2019-02-21,74.26
2019-02-20,74.65
2019-02-19,74.12
2019-02-15,74.37
2019-02-14,73.1
2019-02-13,73.51
2019-02-12,74.18
2019-02-11,72.68
2019-02-08,72.47
2019-02-07,71.89
2019-02-06,72.63
2019-02-05,72.25
2019-02-04,71.65
2019-02-01,71.51
2019-01-31,72.12
2019-01-30,70.84
2019-01-29,68.87
2019-01-28,68.24
2019-01-25,70.31
2019-01-24,70.03
2019-01-23,69.09
2019-01-22,70.65
2019-01-18,70.58
2019-01-17,69.69
2019-01-16,69.0
2019-01-15,69.64
2019-01-14,67.47
2019-01-11,68.2
2019-01-10,67.95
2019-01-09,68.31
2019-01-08,67.19
2019-01-07,68.0
2019-01-04,67.0
2019-01-03,65.14
2019-01-02,68.37
2018-12-31,71.15
2018-12-28,69.93
2018-12-27,69.48
2018-12-26,68.48
2018-12-24,64.49
2018-12-21,66.17
2018-12-20,67.26
2018-12-19,67.87
2018-12-18,68.94
2018-12-17,68.61
2018-12-14,69.61
2018-12-13,71.0
2018-12-12,71.35
2018-12-11,70.67
2018-12-10,69.76
2018-12-07,68.81
2018-12-06,70.37
2018-12-04,70.33
2018-12-03,73.06
2018-11-30,72.84
2018-11-29,72.06
2018-11-28,71.64
2018-11-27,68.57
2018-11-26,67.69
2018-11-23,67.0
2018-11-21,67.41
2018-11-20,67.93
2018-11-19,69.39
2018-11-16,70.86
2018-11-15,69.58
2018-11-14,68.28
2018-11-13,68.36
2018-11-12,69.41
2018-11-09,71.6
2018-11-08,71.77
2018-11-07,71.32
2018-11-06,69.8
2018-11-05,69.24
2018-11-02,69.04
2018-11-01,69.01
2018-10-31,67.82
2018-10-30,66.89
2018-10-29,66.21
2018-10-26,65.9
2018-10-25,66.57
2018-10-24,65.85
2018-10-23,67.45
2018-10-22,67.4
2018-10-19,66.49
2018-10-18,67.03
2018-10-17,69.08
2018-10-16,69.79
2018-10-15,67.58
2018-10-12,68.2
2018-10-11,66.99
2018-10-10,67.52
2018-10-09,69.84
2018-10-08,69.99
2018-10-05,70.12
2018-10-04,70.36
2018-10-03,70.57
2018-10-02,72.31
2018-10-01,72.61
2018-09-28,71.87
2018-09-27,71.53
2018-09-26,71.36
2018-09-25,70.73
2018-09-24,69.99
2018-09-21,67.65
2018-09-20,67.39
2018-09-19,67.11
2018-09-18,67.02
2018-09-17,66.29
2018-09-14,67.03
2018-09-13,67.11
2018-09-12,65.61
2018-09-11,65.25
2018-09-10,65.2
2018-09-07,64.86
2018-09-06,64.49
2018-09-05,64.66
2018-09-04,65.74
2018-08-31,65.48
2018-08-30,65.66
2018-08-29,65.76
2018-08-28,65.43
2018-08-27,65.48
2018-08-24,64.76
2018-08-23,64.49
2018-08-22,64.33
2018-08-21,63.43
2018-08-20,63.33
2018-08-17,63.4
2018-08-16,62.85
2018-08-15,62.18
2018-08-14,62.34
2018-08-13,62.14
2018-08-10,62.73
2018-08-09,63.33
2018-08-08,63.52
2018-08-07,63.42
2018-08-06,63.91
2018-08-03,63.9
2018-08-02,63.27
2018-08-01,63.46
2018-07-31,64.21
2018-07-30,63.84
2018-07-27,63.93
2018-07-26,64.32
2018-07-25,63.9
2018-07-24,63.09
2018-07-23,61.91
2018-07-20,62.03
2018-07-19,62.48
2018-07-18,63.43
2018-07-17,61.52
2018-07-16,60.52
2018-07-13,61.78
2018-07-12,61.46
2018-07-11,61.02
2018-07-10,61.26
2018-07-09,60.9
2018-07-06,60.62
2018-07-05,59.81
2018-07-03,59.31
2018-07-02,59.49
2018-06-29,59.48
2018-06-28,59.76
2018-06-27,58.99
2018-06-26,59.31
2018-06-25,59.27
2018-06-22,60.41
2018-06-21,60.22
2018-06-20,60.6
2018-06-19,60.8
2018-06-18,61.27
2018-06-15,61.35
2018-06-14,61.4
2018-06-13,61.08
2018-06-12,61.36
2018-06-11,61.57
2018-06-08,61.71
2018-06-07,61.62
2018-06-06,61.97
2018-06-05,61.47
2018-06-04,61.46
2018-06-01,60.87
2018-05-31,60.01
2018-05-30,60.54
2018-05-29,59.78
2018-05-25,60.83
2018-05-24,60.96
2018-05-23,60.31
2018-05-22,59.87
2018-05-21,60.57
2018-05-18,60.18
2018-05-17,59.55
2018-05-16,59.27
2018-05-15,59.04
2018-05-14,60.49
2018-05-11,59.75
2018-05-10,59.06
2018-05-09,57.93
2018-05-08,57.26
2018-05-07,57.85
2018-05-04,57.29
2018-05-03,56.5
2018-05-02,56.42
2018-05-01,57.37
2018-04-30,56.69
2018-04-27,58.09
2018-04-26,58.03
2018-04-25,57.2
2018-04-24,56.87
2018-04-23,57.39
2018-04-20,57.73
2018-04-19,58.4
2018-04-18,58.05
2018-04-17,58.32
2018-04-16,57.8
2018-04-13,57.04
2018-04-12,57.38
2018-04-11,56.73
2018-04-10,57.4
2018-04-09,56.51
2018-04-06,55.88
2018-04-05,58.1
2018-04-04,57.71
2018-04-03,57.27
2018-04-02,56.5
2018-03-29,58.16
2018-03-28,57.49
2018-03-27,58.51
2018-03-26,59.27
2018-03-23,57.75
2018-03-22,59.14
2018-03-21,60.58
2018-03-20,60.81
2018-03-19,60.43
2018-03-16,61.32
2018-03-15,60.75
2018-03-14,61.01
2018-03-13,61.34
2018-03-12,61.75
2018-03-09,61.73
2018-03-08,60.05
2018-03-07,59.49
2018-03-06,59.09
2018-03-05,58.6
2018-03-02,57.71
2018-03-01,57.06
2018-02-28,58.56
2018-02-27,58.77
2018-02-26,58.75
2018-02-23,57.95
2018-02-22,57.26
2018-02-21,57.26
2018-02-20,57.38
2018-02-16,58.4
