date,figure,fyear,measure,period,type,value
2018-10-31,common-outstanding-basic,2018.0,period,FY,common,370430000
2017-10-31,common-outstanding-basic,2017.0,period,FY,common,346371000
2016-10-31,common-outstanding-basic,2016.0,period,FY,common,308736000
2015-10-31,common-outstanding-basic,2015.0,period,FY,common,312660000
2014-10-31,common-outstanding-basic,2014.0,period,FY,common,313195000
2013-10-31,common-outstanding-basic,2013.0,period,FY,common,307763000
2012-10-31,common-outstanding-basic,2012.0,period,FY,common,298761000
2011-10-31,common-outstanding-basic,2011.0,period,FY,common,299417000
2010-10-31,common-outstanding-basic,2010.0,period,FY,common,297387000
2009-10-31,common-outstanding-basic,2009.0,period,FY,common,291385000
2008-10-31,common-outstanding-basic,2008.0,period,FY,common,292688000
2007-10-31,common-outstanding-basic,2007.0,period,FY,common,323255000
