date,figure,fyear,measure,period,type,value
2018-09-30,common-outstanding-basic,2018.0,period,FY,common,217872000
2017-09-30,common-outstanding-basic,2017.0,period,FY,common,218375000
2016-09-30,common-outstanding-basic,2016.0,period,FY,common,212206000
2015-09-30,common-outstanding-basic,2015.0,period,FY,common,217786000
2014-09-30,common-outstanding-basic,2014.0,period,FY,common,227367000
2013-09-30,common-outstanding-basic,2013.0,period,FY,common,231067
2012-09-30,common-outstanding-basic,2012.0,period,FY,common,252906000
2011-09-30,common-outstanding-basic,2011.0,period,FY,common,272471000
2010-09-30,common-outstanding-basic,2010.0,period,FY,common,282258000
2009-09-30,common-outstanding-basic,2009.0,period,FY,common,300573000
2008-09-30,common-outstanding-basic,2008.0,period,FY,common,321284000
2007-09-30,common-outstanding-basic,2007.0,period,FY,common,370362000
